=================================================================
  Run : 20260628_231252
  Strategy : DummyVecEnv(8) + 전체 train pool
  Policy   : MlpPolicy  net_arch=[64, 64]
  Steps    : 2,000,000  (eval every 50,000)
=================================================================
[data] 로딩: /home/hpe/finance-llm-course/day3/01_golden_cross/../../day2/03_fss_api/data/stock_prices.csv
[data] train 199종목 / val 200종목  (split: 20260101)
[env] DummyVecEnv(8)  obs=(20, 9)  act=3
Using cpu device
[model] 파라미터 수: 31,748

[train] 시작  →  tensorboard --logdir /home/hpe/finance-llm-course/day3/01_golden_cross/logs

Logging to /home/hpe/finance-llm-course/day3/01_golden_cross/logs/20260628_231252/20260628_231252_1
---------------------------------
| rollout/           |          |
|    ep_len_mean          | 484         |
|    ep_rew_mean          | -0.848      |
| time/                   |             |
|    fps                  | 1951        |
|    iterations           | 5           |
|    time_elapsed         | 20          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.014316147 |
|    clip_fraction        | 0.169       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.291       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0586     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0235     |
|    value_loss           | 0.0113      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 491         |
|    ep_rew_mean          | -0.805      |
| time/                   |             |
|    fps                  | 1922        |
|    iterations           | 6           |
|    time_elapsed         | 25          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.016033996 |
|    clip_fraction        | 0.195       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.281       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0381     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.026      |
|    value_loss           | 0.0112      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.018370148 |
|    clip_fraction        | 0.218       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1          |
|    explained_variance   | 0.266       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0505     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0269     |
|    value_loss           | 0.00947     |
| train_eval/             |             |
|    mean_cum_return      | 1.27        |
|    mean_mdd             | -0.499      |
|    mean_sharpe          | 0.067       |
|    mean_win_rate        | 0.372       |
|    std_cum_return       | 2.91        |
|    std_mdd              | 0.0507      |
|    std_sharpe           | 0.554       |
|    std_win_rate         | 0.0285      |
| val/                    |             |
|    mean_cum_return      | 0.117       |
|    mean_mdd             | -0.296      |
|    mean_sharpe          | 0.118       |
|    mean_win_rate        | 0.359       |
|    std_cum_return       | 0.498       |
|    std_mdd              | 0.0955      |
|    std_sharpe           | 1.78        |
|    std_win_rate         | 0.0524      |
-----------------------------------------

[best] step=50,000  val_sharpe=0.1181  → /home/hpe/finance-llm-course/day3/01_golden_cross/models/20260628_231252/best_model.zip
  [eval] step=50,000  val cum_ret=+11.72%  MDD=-29.64%  sharpe=0.118  win_rate=35.9%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 514      |
|    ep_rew_mean     | -0.671   |
| time/              |          |
|    fps             | 1649     |
|    iterations      | 7        |
|    time_elapsed    | 34       |
|    total_timesteps | 57344    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 566         |
|    ep_rew_mean          | -0.506      |
| time/                   |             |
|    fps                  | 1666        |
|    iterations           | 8           |
|    time_elapsed         | 39          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.019377202 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.981      |
|    explained_variance   | 0.311       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.029      |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0277     |
|    value_loss           | 0.0111      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 567         |
|    ep_rew_mean          | -0.304      |
| time/                   |             |
|    fps                  | 1680        |
|    iterations           | 9           |
|    time_elapsed         | 43          |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.021158434 |
|    clip_fraction        | 0.224       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.951      |
|    explained_variance   | 0.352       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0476     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0289     |
|    value_loss           | 0.0101      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 597         |
|    ep_rew_mean          | 0.00461     |
| time/                   |             |
|    fps                  | 1691        |
|    iterations           | 10          |
|    time_elapsed         | 48          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.019408619 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.92       |
|    explained_variance   | 0.274       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0333     |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0291     |
|    value_loss           | 0.00754     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 639         |
|    ep_rew_mean          | 0.212       |
| time/                   |             |
|    fps                  | 1700        |
|    iterations           | 11          |
|    time_elapsed         | 53          |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.019774724 |
|    clip_fraction        | 0.212       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.904      |
|    explained_variance   | 0.262       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0375     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0238     |
|    value_loss           | 0.0111      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 661         |
|    ep_rew_mean          | 0.482       |
| time/                   |             |
|    fps                  | 1706        |
|    iterations           | 12          |
|    time_elapsed         | 57          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.020996891 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.883      |
|    explained_variance   | 0.249       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0279     |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0267     |
|    value_loss           | 0.00942     |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.021855779 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.871      |
|    explained_variance   | 0.222       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0604     |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0233     |
|    value_loss           | 0.00979     |
| train_eval/             |             |
|    mean_cum_return      | 1.65        |
|    mean_mdd             | -0.513      |
|    mean_sharpe          | 0.0656      |
|    mean_win_rate        | 0.385       |
|    std_cum_return       | 3.67        |
|    std_mdd              | 0.0568      |
|    std_sharpe           | 0.617       |
|    std_win_rate         | 0.0302      |
| val/                    |             |
|    mean_cum_return      | 0.101       |
|    mean_mdd             | -0.306      |
|    mean_sharpe          | 0.0165      |
|    mean_win_rate        | 0.374       |
|    std_cum_return       | 0.456       |
|    std_mdd              | 0.0979      |
|    std_sharpe           | 1.75        |
|    std_win_rate         | 0.0684      |
-----------------------------------------
  [eval] step=100,000  val cum_ret=+10.12%  MDD=-30.65%  sharpe=0.017  win_rate=37.4%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 668      |
|    ep_rew_mean     | 0.718    |
| time/              |          |
|    fps             | 1594     |
|    iterations      | 13       |
|    time_elapsed    | 66       |
|    total_timesteps | 106496   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 704         |
|    ep_rew_mean          | 1.08        |
| time/                   |             |
|    fps                  | 1608        |
|    iterations           | 14          |
|    time_elapsed         | 71          |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.022998445 |
|    clip_fraction        | 0.23        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.857      |
|    explained_variance   | 0.246       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0397     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0247     |
|    value_loss           | 0.0109      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 723         |
|    ep_rew_mean          | 1.26        |
| time/                   |             |
|    fps                  | 1619        |
|    iterations           | 15          |
|    time_elapsed         | 75          |
|    total_timesteps      | 122880      |
| train/                  |             |
|    approx_kl            | 0.023484986 |
|    clip_fraction        | 0.232       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.829      |
|    explained_variance   | 0.194       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0453     |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0262     |
|    value_loss           | 0.0109      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 742        |
|    ep_rew_mean          | 1.57       |
| time/                   |            |
|    fps                  | 1629       |
|    iterations           | 16         |
|    time_elapsed         | 80         |
|    total_timesteps      | 131072     |
| train/                  |            |
|    approx_kl            | 0.02307093 |
|    clip_fraction        | 0.223      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.808     |
|    explained_variance   | 0.17       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0466    |
|    n_updates            | 150        |
|    policy_gradient_loss | -0.0242    |
|    value_loss           | 0.0104     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 745         |
|    ep_rew_mean          | 1.82        |
| time/                   |             |
|    fps                  | 1638        |
|    iterations           | 17          |
|    time_elapsed         | 85          |
|    total_timesteps      | 139264      |
| train/                  |             |
|    approx_kl            | 0.023123063 |
|    clip_fraction        | 0.229       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.784      |
|    explained_variance   | 0.195       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0214     |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0266     |
|    value_loss           | 0.00979     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 763         |
|    ep_rew_mean          | 2           |
| time/                   |             |
|    fps                  | 1646        |
|    iterations           | 18          |
|    time_elapsed         | 89          |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.022987528 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.769      |
|    explained_variance   | 0.258       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0209     |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0218     |
|    value_loss           | 0.0124      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.024317494 |
|    clip_fraction        | 0.214       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.753      |
|    explained_variance   | 0.311       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0315     |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0249     |
|    value_loss           | 0.0095      |
| train_eval/             |             |
|    mean_cum_return      | 1.25        |
|    mean_mdd             | -0.516      |
|    mean_sharpe          | -0.0117     |
|    mean_win_rate        | 0.39        |
|    std_cum_return       | 3.67        |
|    std_mdd              | 0.0468      |
|    std_sharpe           | 0.534       |
|    std_win_rate         | 0.0327      |
| val/                    |             |
|    mean_cum_return      | 0.177       |
|    mean_mdd             | -0.306      |
|    mean_sharpe          | 0.142       |
|    mean_win_rate        | 0.405       |
|    std_cum_return       | 0.593       |
|    std_mdd              | 0.0897      |
|    std_sharpe           | 1.93        |
|    std_win_rate         | 0.0634      |
-----------------------------------------

[best] step=150,000  val_sharpe=0.1424  → /home/hpe/finance-llm-course/day3/01_golden_cross/models/20260628_231252/best_model.zip
  [eval] step=150,000  val cum_ret=+17.68%  MDD=-30.65%  sharpe=0.142  win_rate=40.5%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 778      |
|    ep_rew_mean     | 2.25     |
| time/              |          |
|    fps             | 1576     |
|    iterations      | 19       |
|    time_elapsed    | 98       |
|    total_timesteps | 155648   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 793         |
|    ep_rew_mean          | 2.55        |
| time/                   |             |
|    fps                  | 1586        |
|    iterations           | 20          |
|    time_elapsed         | 103         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.024157636 |
|    clip_fraction        | 0.218       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.74       |
|    explained_variance   | 0.281       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0536     |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0239     |
|    value_loss           | 0.0101      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 801         |
|    ep_rew_mean          | 2.79        |
| time/                   |             |
|    fps                  | 1594        |
|    iterations           | 21          |
|    time_elapsed         | 107         |
|    total_timesteps      | 172032      |
| train/                  |             |
|    approx_kl            | 0.025739461 |
|    clip_fraction        | 0.223       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.727      |
|    explained_variance   | 0.271       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0443     |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0249     |
|    value_loss           | 0.0121      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 795        |
|    ep_rew_mean          | 2.93       |
| time/                   |            |
|    fps                  | 1602       |
|    iterations           | 22         |
|    time_elapsed         | 112        |
|    total_timesteps      | 180224     |
| train/                  |            |
|    approx_kl            | 0.02679672 |
|    clip_fraction        | 0.22       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.711     |
|    explained_variance   | 0.243      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00102    |
|    n_updates            | 210        |
|    policy_gradient_loss | -0.0238    |
|    value_loss           | 0.0112     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 784         |
|    ep_rew_mean          | 3.13        |
| time/                   |             |
|    fps                  | 1610        |
|    iterations           | 23          |
|    time_elapsed         | 116         |
|    total_timesteps      | 188416      |
| train/                  |             |
|    approx_kl            | 0.024568966 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.707      |
|    explained_variance   | 0.216       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0616     |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0247     |
|    value_loss           | 0.0111      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 791         |
|    ep_rew_mean          | 3.26        |
| time/                   |             |
|    fps                  | 1617        |
|    iterations           | 24          |
|    time_elapsed         | 121         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.026147569 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.678      |
|    explained_variance   | 0.216       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.049      |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0228     |
|    value_loss           | 0.0133      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.027181018 |
|    clip_fraction        | 0.228       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.684      |
|    explained_variance   | 0.198       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0113     |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0204     |
|    value_loss           | 0.0149      |
| train_eval/             |             |
|    mean_cum_return      | 0.524       |
|    mean_mdd             | -0.522      |
|    mean_sharpe          | -0.0501     |
|    mean_win_rate        | 0.37        |
|    std_cum_return       | 1.62        |
|    std_mdd              | 0.0747      |
|    std_sharpe           | 0.497       |
|    std_win_rate         | 0.027       |
| val/                    |             |
|    mean_cum_return      | 0.107       |
|    mean_mdd             | -0.321      |
|    mean_sharpe          | -0.00494    |
|    mean_win_rate        | 0.38        |
|    std_cum_return       | 0.498       |
|    std_mdd              | 0.0909      |
|    std_sharpe           | 1.84        |
|    std_win_rate         | 0.0674      |
-----------------------------------------
  [eval] step=200,000  val cum_ret=+10.65%  MDD=-32.14%  sharpe=-0.005  win_rate=38.0%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 746      |
|    ep_rew_mean     | 3.21     |
| time/              |          |
|    fps             | 1568     |
|    iterations      | 25       |
|    time_elapsed    | 130      |
|    total_timesteps | 204800   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 753         |
|    ep_rew_mean          | 3.4         |
| time/                   |             |
|    fps                  | 1576        |
|    iterations           | 26          |
|    time_elapsed         | 135         |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.026609559 |
|    clip_fraction        | 0.219       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.665      |
|    explained_variance   | 0.215       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0466     |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0217     |
|    value_loss           | 0.0126      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 739         |
|    ep_rew_mean          | 3.36        |
| time/                   |             |
|    fps                  | 1583        |
|    iterations           | 27          |
|    time_elapsed         | 139         |
|    total_timesteps      | 221184      |
| train/                  |             |
|    approx_kl            | 0.025864866 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.652      |
|    explained_variance   | 0.231       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0294     |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0237     |
|    value_loss           | 0.0109      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 743         |
|    ep_rew_mean          | 3.59        |
| time/                   |             |
|    fps                  | 1590        |
|    iterations           | 28          |
|    time_elapsed         | 144         |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.029062226 |
|    clip_fraction        | 0.227       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.669      |
|    explained_variance   | 0.0382      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0184     |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0184     |
|    value_loss           | 0.0844      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 749         |
|    ep_rew_mean          | 3.63        |
| time/                   |             |
|    fps                  | 1596        |
|    iterations           | 29          |
|    time_elapsed         | 148         |
|    total_timesteps      | 237568      |
| train/                  |             |
|    approx_kl            | 0.028661933 |
|    clip_fraction        | 0.227       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.649      |
|    explained_variance   | -0.515      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0292     |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0243     |
|    value_loss           | 0.0189      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 744         |
|    ep_rew_mean          | 3.62        |
| time/                   |             |
|    fps                  | 1602        |
|    iterations           | 30          |
|    time_elapsed         | 153         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.029427506 |
|    clip_fraction        | 0.22        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.665      |
|    explained_variance   | 0.0315      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0407     |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0223     |
|    value_loss           | 0.0127      |
-----------------------------------------
----------------------------------------
| train/                  |            |
|    approx_kl            | 0.02899342 |
|    clip_fraction        | 0.23       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.641     |
|    explained_variance   | 0.115      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00017    |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.0241    |
|    value_loss           | 0.0124     |
| train_eval/             |            |
|    mean_cum_return      | 0.38       |
|    mean_mdd             | -0.524     |
|    mean_sharpe          | -0.0638    |
|    mean_win_rate        | 0.365      |
|    std_cum_return       | 1.63       |
|    std_mdd              | 0.0701     |
|    std_sharpe           | 0.437      |
|    std_win_rate         | 0.0251     |
| val/                    |            |
|    mean_cum_return      | 0.0807     |
|    mean_mdd             | -0.321     |
|    mean_sharpe          | -0.299     |
|    mean_win_rate        | 0.36       |
|    std_cum_return       | 0.567      |
|    std_mdd              | 0.0873     |
|    std_sharpe           | 2.01       |
|    std_win_rate         | 0.0756     |
----------------------------------------
  [eval] step=250,000  val cum_ret=+8.07%  MDD=-32.12%  sharpe=-0.299  win_rate=36.0%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 756      |
|    ep_rew_mean     | 3.69     |
| time/              |          |
|    fps             | 1560     |
|    iterations      | 31       |
|    time_elapsed    | 162      |
|    total_timesteps | 253952   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 775         |
|    ep_rew_mean          | 3.86        |
| time/                   |             |
|    fps                  | 1567        |
|    iterations           | 32          |
|    time_elapsed         | 167         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.028672561 |
|    clip_fraction        | 0.222       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.638      |
|    explained_variance   | 0.139       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0215     |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0236     |
|    value_loss           | 0.0143      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 784         |
|    ep_rew_mean          | 3.93        |
| time/                   |             |
|    fps                  | 1573        |
|    iterations           | 33          |
|    time_elapsed         | 171         |
|    total_timesteps      | 270336      |
| train/                  |             |
|    approx_kl            | 0.029837405 |
|    clip_fraction        | 0.225       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.629      |
|    explained_variance   | 0.187       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00788    |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0248     |
|    value_loss           | 0.0129      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 786         |
|    ep_rew_mean          | 4.02        |
| time/                   |             |
|    fps                  | 1580        |
|    iterations           | 34          |
|    time_elapsed         | 176         |
|    total_timesteps      | 278528      |
| train/                  |             |
|    approx_kl            | 0.027458183 |
|    clip_fraction        | 0.21        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.622      |
|    explained_variance   | 0.149       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0331     |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0224     |
|    value_loss           | 0.0133      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 787         |
|    ep_rew_mean          | 3.96        |
| time/                   |             |
|    fps                  | 1586        |
|    iterations           | 35          |
|    time_elapsed         | 180         |
|    total_timesteps      | 286720      |
| train/                  |             |
|    approx_kl            | 0.027989311 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.631      |
|    explained_variance   | 0.198       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0602     |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0227     |
|    value_loss           | 0.012       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 751         |
|    ep_rew_mean          | 3.79        |
| time/                   |             |
|    fps                  | 1592        |
|    iterations           | 36          |
|    time_elapsed         | 185         |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.028019816 |
|    clip_fraction        | 0.214       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.625      |
|    explained_variance   | 0.167       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0246     |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0225     |
|    value_loss           | 0.0154      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.027348036 |
|    clip_fraction        | 0.214       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.615      |
|    explained_variance   | 0.19        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0327     |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0225     |
|    value_loss           | 0.0158      |
| train_eval/             |             |
|    mean_cum_return      | 0.665       |
|    mean_mdd             | -0.525      |
|    mean_sharpe          | -0.00526    |
|    mean_win_rate        | 0.364       |
|    std_cum_return       | 1.56        |
|    std_mdd              | 0.0733      |
|    std_sharpe           | 0.577       |
|    std_win_rate         | 0.0345      |
| val/                    |             |
|    mean_cum_return      | 0.0481      |
|    mean_mdd             | -0.329      |
|    mean_sharpe          | -0.45       |
|    mean_win_rate        | 0.356       |
|    std_cum_return       | 0.519       |
|    std_mdd              | 0.1         |
|    std_sharpe           | 2.04        |
|    std_win_rate         | 0.0718      |
-----------------------------------------
  [eval] step=300,000  val cum_ret=+4.81%  MDD=-32.94%  sharpe=-0.450  win_rate=35.6%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 762      |
|    ep_rew_mean     | 3.76     |
| time/              |          |
|    fps             | 1558     |
|    iterations      | 37       |
|    time_elapsed    | 194      |
|    total_timesteps | 303104   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 737         |
